symbol,AD,ALS,AnorexiaNervosa,BipolarDisorder,BrainAneurysm,EssentialTremor,FrontotemporalDementia,IntracranialHemorrhage,LBD,MajorDepressiveDisorder,MigraineDisorder,MigraineWithAura,MS,NarcolepsyCataplexy,Narcolepsy,NeuroticDisorder,OCD,PartialEpilepsy,PD,ProgressiveSupranuclearPalsy,RestlessLeg,Schizophrenia,TouretteSyndrome,UnipolarDepression,cluster2129,cluster0565
SRPK2,0.0,0.0,0.5237881274142099,0.5763016758203037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4221376235201702,0.0,0.0,0.0,0.0,0.6819760627013197,0.4221376235201702,0.4221376235201702,1,7
STAG1,0.0,0.0,0.316940135312058,0.3452017253247561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2301821679570243,0.316940135312058,0.0,0.0,0.0,0.0,0.5195268197254258,0.316940135312058,0.3893072420856217,1,8
SYNE1,0.0,0.6991204172533643,0.0,0.5566518711748709,0.0,0.1945378552357187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4148304452144988,0.0,0.4148304452144988,1,4
TCF4,0.0,0.0,0.7074230096249895,0.7495360898125176,0.0,0.0,0.0,0.0,0.0,0.7076570917049839,0.0,0.0,0.0,0.0,0.0,0.0,0.6917842197607085,0.0,0.0,0.0,0.0,0.8707289565470078,0.6917842197607085,0.838808417361282,1,5
TENM2,0.0,0.0,0.4704164257581229,0.5879045242468379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4704164257581229,0.0,0.0,0.0,0.0,0.4704164257581229,0.4704164257581229,0.706504051536413,1,7
TENM4,0.0,0.0,0.0,0.82882146204137,0.0,0.8894293129007484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6615052550037035,0.5299350812697267,0.6788149892259886,1,13
TFAP2B,0.0,0.0,0.4894781826041448,0.6898966692611149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894781826041448,0.0,0.0,0.0,0.0,0.4894781826041448,0.4894781826041448,0.4894781826041448,1,7
TMEM161B,0.0,0.0,0.4976806970663729,0.4976806970663729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4976806970663729,0.0,0.0,0.0,0.0,0.5012753972420589,0.4976806970663729,0.6840197608340479,1,7
TRANK1,0.0,0.0,0.2354543968608957,0.7306574063382476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2354543968608957,0.0,0.0,0.0,0.0,0.7507562563735529,0.2354543968608957,0.3977686735331356,1,7
TSNARE1,0.0,0.0,0.4378112162452869,0.605053443310414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4378112162452869,0.0,0.0,0.0,0.0,0.8129872825773478,0.4378112162452869,0.5403528054188786,1,7
VRK2,0.0,0.0,0.5466184758287793,0.705994785614592,0.0,0.0,0.0,0.0,0.0,0.5988696399652539,0.0,0.0,0.0,0.0,0.0,0.0,0.5466184758287793,0.4116636799939479,0.0,0.0,0.0,0.7621852263855372,0.5466184758287793,0.7381470281950612,1,5
ZNF608,0.0,0.0,0.4161471345503703,0.5251800688231274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4161471345503703,0.0,0.55374650582621,0.0,0.0,0.4161471345503703,0.4161471345503703,0.571418639328724,1,9
ZNF804A,0.0,0.0,0.4878555977131295,0.7395567887306822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4780923365040572,0.4161703977408822,0.0,0.0,0.0,0.0,0.8344081939766738,0.4161703977408822,0.6925044457911973,1,8
ZSWIM6,0.0,0.0,0.6199515349527617,0.690927972082777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932528707954395,0.0,0.0,0.0,0.0,0.8224859298867109,0.4932528707954395,0.4932528707954395,1,7
ABCB9,0.0,0.0,0.1578880508025229,0.1285590490415351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285590490415351,0.0,0.0,0.0,0.0,0.2024546988292846,0.1602190963216412,0.1285590490415351,2,69
ACADS,0.0,0.0,0.1354269693018299,0.1560375257486342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354269693018299,0.0,0.0,0.0,0.0,0.3538127150208506,0.1354269693018299,0.1678735062081836,2,69
AKAP6,0.0,0.0,0.2964566243001192,0.2964566243001192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2964566243001192,0.0,0.0,0.0,0.0,0.4665839274765048,0.2964566243001192,0.2964566243001192,2,69
ANKS1B,0.0,0.0,0.2778302188597122,0.3979925643789689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778302188597122,0.0,0.0,0.0,0.0,0.3807074544431358,0.2778302188597122,0.2778302188597122,2,69
ARL3,0.0,0.0,0.1121612898641138,0.1350528060661186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1121612898641138,0.0,0.0,0.0,0.0,0.3167811701114685,0.1121612898641138,0.2663700605448401,2,69
AS3MT,0.0,0.0,0.1401217124881391,0.1697380440651462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364880573893226,0.0,0.0,0.0,0.0,0.504159532182304,0.1364880573893226,0.1422728683024585,2,69
ASB3,0.0,0.0,0.4239097568459851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400160969993488,2,69
ASTN1,0.0,0.0,0.1217592945494662,0.1488799509859173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1217592945494662,0.0,0.0,0.0,0.0,0.2540086723434948,0.1217592945494662,0.6713221282770803,2,69
ATF7IP2,0.0,0.0,0.1231688917053883,0.1839928299649597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1231688917053883,0.0,0.0,0.0,0.0,0.1888343258843519,0.1231688917053883,0.1231688917053883,2,69
