symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ZMAT1	0.0021982105842376655	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.16076265888726815	No data	0	No data	No data	0	-1	0
CBL	0.004565953782488	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6688749999999999	No data	-0.4940612627630756	-0.936721610376476	0	No data	-1	0	-1	-1
SLC28A3	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	0	0	No data	0.39226922275474063	0	0	-1	No data	0	0.5	0
EVA1B	0.002331174092512626	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.4848500000000001	No data	-0.2656803500729319	No data	0	No data	No data	0	-1	0
SOD1	0.021659007169150476	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	1	0.1883099999999999	No data	0.08428839341529493	-0.9577674726301943	-1	No data	No data	0	0.5	-1
VPS13B-DT	0.010686332628378455	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
SULT2A1	0.009282601446087405	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	1	0	No data	0.8484059178995624	0	0	-1	No data	0	1	0.5
GRIN2D	0.3891355897853175	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6400984969245106	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8315849999999998	No data	-0.9263388205876224	-0.5879651410066489	0	-1	No data	0	0.5	0.5
PLPPR4	0.009239496367117545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8601399999999998	No data	-0.6681600333402793	-0.6420355854662585	0	No data	No data	0	1	0
CD72	0.011531507432587167	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.38018337153573656	-0.27585064944518983	0	No data	No data	No data	1	0
AKT3	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9791249999999998	1	-0.9128985205251094	-0.33413240346252454	0	-1	No data	-0.5615874999999999	-1	-1
GRK6	0.241031176852268	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3957180701800876	No data	No data	No data	No data	No data	No data	0	0	1	1	1	0.7309049999999999	No data	-0.41050218795582416	-0.2984766019864524	0	No data	No data	-0.25347250000000016	0.5	-1
IL24	0.007022017239009335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	0.6472181704521776	-0.4547912827212672	0	No data	No data	0	0.75	0
TNIP1	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.1666649999999997	No data	-0.6339862471348198	-0.9421435043774714	0	No data	No data	0	-1	-1
PTCD1	0.26410544098981104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4344333960829137	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.29099812460929364	-0.8859859048330332	0	No data	No data	0	-1	0
HES1	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8928550000000002	No data	-0.41321108564284226	-0.9384250146648989	0	No data	No data	0	-1	0
NDUFAF1	0.1144640520078783	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1882846739424511	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	-0.008022504688476761	No data	-1	No data	No data	No data	-1	-1
ZFP36	0.0018478992734235094	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.20245499999999977	No data	-0.4571785788705981	-0.8919468420762591	0	No data	No data	0	-1	-1
MAS1	0.0022174791281082107	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	1	0	0	1	0	0.5076900000000002	No data	0.5901229422796417	-0.8052668887903919	0	No data	No data	0	0.5	1
CPN1	0.0054324804963382465	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	1	1	0	0.19213999999999984	No data	0.18795582413002698	-0.05905544609812324	0	No data	No data	0	1	0.5
SPR	0.0014783194187388072	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	1	0	No data	0.27912065013544485	-0.8422966673968182	0	No data	No data	No data	-1	0
SRRM2	0.013123070121039112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.3168599999999998	No data	-0.9678057928735153	-0.022060910089015118	-1	No data	No data	0	-1	-1
KMT2B	0.3378015144577021	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5550499101685372	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5322299999999999	No data	-0.9942696395082309	-0.9465951299421055	0	No data	No data	0	-1	-1
NLRP1	0.008702235599590399	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	0	No data	-0.09324859345697023	-0.8385982967550626	0	No data	No data	0	-1	-1
IGHV3-33	0.0025870589827929123	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	No data	No data	No data	No data	No data	No data	No data	-0.9572649999999999	0.5	0
SH3YL1	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.619885	No data	0.24775994998958106	-0.6368223729736302	0	No data	No data	No data	-1	-1
FASTK	0.372901622679242	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6133948537304925	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4444450000000003	No data	-0.39799958324650964	-0.5867911480634554	0	No data	No data	0	-1	-1
FGG	0.007761176948378739	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	0	0	1	0.0397350000000003	No data	-0.4501979579078975	-0.8910524736614636	0	No data	No data	0	1	0
