"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"4239","Micos10","NeuN vs pSyn",-0.625962904821785,5.51696870706929e-07,7.64506323134524e-06,"Micos10","Enriched in NeuN FDR < 0.01",-6.25829947940744
"4240","Micos13","NeuN vs pSyn",0.0404679855045501,0.757131015277693,0.810123013149451,"Micos13","NS or FC < 0.5",0.120828962918826
"4241","Micu1","NeuN vs pSyn",-0.387605795881457,0.00844769904972787,0.0194161691463473,"Micu1","NS or FC < 0.5",-2.07326156632667
"4242","Micu3","NeuN vs pSyn",-0.888305816379203,3.03714222395142e-08,6.36672389638075e-07,"Micu3","Enriched in NeuN FDR < 0.01",-7.51753487036983
"4243","Mid1","NeuN vs pSyn",-0.178730077262838,0.214440130138235,0.291963016244569,"Mid1","NS or FC < 0.5",-0.668693937884427
"4244","Mid1ip1","NeuN vs pSyn",0.248436609905278,0.112043847231572,0.169766251842571,"Mid1ip1","NS or FC < 0.5",0.950611987292629
"4245","Mid2","NeuN vs pSyn",0.377568020359934,0.00287310814329756,0.00800695005388447,"Mid2","NS or FC < 0.5",2.54164802693061
"4246","Midn","NeuN vs pSyn",-0.676385591042545,2.06671088132597e-05,0.000148905365333175,"Midn","Enriched in NeuN FDR < 0.01",-4.68472027394214
"4247","Mief1","NeuN vs pSyn",0.123756375313285,0.39612919979803,0.483173546745294,"Mief1","NS or FC < 0.5",0.402163143347391
"4248","Mief2","NeuN vs pSyn",0.289179790552293,0.0249169205773349,0.0480932231181844,"Mief2","NS or FC < 0.5",1.60350563211355
"4249","Mien1","NeuN vs pSyn",-0.412585131372267,0.00300794753544189,0.00831858156801882,"Mien1","NS or FC < 0.5",-2.52172974296962
"4250","Mier1","NeuN vs pSyn",0.123308007555308,0.356269131622574,0.442505741433947,"Mier1","NS or FC < 0.5",0.448221804779869
"4251","Mier2","NeuN vs pSyn",-0.224319349056518,0.073854261799631,0.119433194086212,"Mier2","NS or FC < 0.5",-1.13162443843384
"4252","Mier3","NeuN vs pSyn",0.437532168330106,0.00101722008488279,0.00345510656650977,"Mier3","NS or FC < 0.5",2.99258507332168
"4253","Mif","NeuN vs pSyn",-0.628876902145531,2.37529660503986e-07,3.68742350971393e-06,"Mif","Enriched in NeuN FDR < 0.01",-6.62428215198049
"4254","Miga1","NeuN vs pSyn",-0.573943564817514,2.4840942950677e-05,0.000172247060291149,"Miga1","Enriched in NeuN FDR < 0.01",-4.60483192256538
"4255","Miga2","NeuN vs pSyn",-0.61119248979852,1.59155758237204e-05,0.000120939636305563,"Miga2","Enriched in NeuN FDR < 0.01",-4.79817764403384
"4256","Miip","NeuN vs pSyn",0.108985222467973,0.430102917146649,0.518268852550009,"Miip","NS or FC < 0.5",0.36642761186024
"4257","Minar1","NeuN vs pSyn",0.46228148210948,0.00205882975553521,0.00608290609589948,"Minar1","NS or FC < 0.5",2.68637956367261
"4258","Minar2","NeuN vs pSyn",0.263213658291792,0.0726133454288845,0.117679206448425,"Minar2","NS or FC < 0.5",1.13898355404525
"4259","Mindy1","NeuN vs pSyn",0.498200192337301,0.00181402799628943,0.00549362349969669,"Mindy1","NS or FC < 0.5",2.74135601466281
"4260","Mindy2","NeuN vs pSyn",-0.110973208722078,0.43480009009665,0.522743687827442,"Mindy2","NS or FC < 0.5",-0.361710374593853
"4261","Mindy3","NeuN vs pSyn",-0.141774573792986,0.297945303301477,0.383131607272904,"Mindy3","NS or FC < 0.5",-0.525863456241304
"4262","Mink1","NeuN vs pSyn",-0.482717399373715,0.000477031418212575,0.00187308946699288,"Mink1","NS or FC < 0.5",-3.32145301654268
"4263","Minpp1","NeuN vs pSyn",-0.181042775974451,0.15364605343019,0.221241063660034,"Minpp1","NS or FC < 0.5",-0.813478590601248
"4264","Mios","NeuN vs pSyn",-0.178961319387998,0.154291864856069,0.221978821492768,"Mios","NS or FC < 0.5",-0.811656971806315
"4265","Mipep","NeuN vs pSyn",0.167882040927624,0.224276165980372,0.303479880130696,"Mipep","NS or FC < 0.5",0.649216876810214
"4266","Mis12","NeuN vs pSyn",0.294469413556348,0.0181080314148386,0.0367902099916948,"Mis12","NS or FC < 0.5",1.74212876073746
"4267","Mitd1","NeuN vs pSyn",0.387972293730456,0.00157373097861348,0.00490777230530176,"Mitd1","NS or FC < 0.5",2.80306950608702
"4268","Mkln1","NeuN vs pSyn",-0.106719791751112,0.439533835478693,0.527102230362356,"Mkln1","NS or FC < 0.5",-0.357007687152034
"4269","Mknk1","NeuN vs pSyn",0.0584458826211583,0.65646130036283,0.727299552272001,"Mknk1","NS or FC < 0.5",0.182790871302253
"4270","Mknk2","NeuN vs pSyn",0.0477026137702012,0.738689989142833,0.795762972684571,"Mknk2","NS or FC < 0.5",0.131537786574636
"4271","Mkrn1","NeuN vs pSyn",-0.430284125120613,0.00242575664869674,0.00695528713841833,"Mkrn1","NS or FC < 0.5",-2.61515276959855
"4272","Mkrn2","NeuN vs pSyn",0.113384846117394,0.377577581520676,0.464580341691312,"Mkrn2","NS or FC < 0.5",0.42299379962529
"4273","Mks1","NeuN vs pSyn",0.682134184905981,1.96153536604314e-06,2.17453644566868e-05,"Mks1","Enriched in pSyn FDR < 0.01",5.70740385723166
"4274","Mkx","NeuN vs pSyn",-0.0665457885053739,0.645103039839547,0.717973141777569,"Mkx","NS or FC < 0.5",-0.190370911628767
"4275","Mlc1","NeuN vs pSyn",0.514675200761459,0.000151357992187596,0.000738002946257383,"Mlc1","Enriched in pSyn FDR < 0.01",3.81999464195993
"4276","Mlec","NeuN vs pSyn",-0.0821926408646589,0.543546407407957,0.62527906683612,"Mlec","NS or FC < 0.5",-0.264763370398687
"4277","Mlf2","NeuN vs pSyn",-0.51367268347026,6.64494690611094e-10,2.57072843278827e-08,"Mlf2","Enriched in NeuN FDR < 0.01",-9.17750848477018
"4278","Mlh1","NeuN vs pSyn",0.765921858647024,3.97027154105523e-07,5.77639345787987e-06,"Mlh1","Enriched in pSyn FDR < 0.01",6.40117978926988
"4279","Mlh3","NeuN vs pSyn",0.34866070271909,0.0122602413109601,0.0264370597242301,"Mlh3","NS or FC < 0.5",1.91150098177625
"4280","Mlip","NeuN vs pSyn",-0.0771042720958198,0.528400987710242,0.611437362187761,"Mlip","NS or FC < 0.5",-0.277036379254507
"4281","Mlkl","NeuN vs pSyn",0.172236863951227,0.257000811373913,0.339275618171143,"Mlkl","NS or FC < 0.5",0.590065505561091
"4282","Mllt1","NeuN vs pSyn",-0.209745295723546,0.139712565843382,0.204455510183542,"Mllt1","NS or FC < 0.5",-0.854764531387475
"4283","Mllt10","NeuN vs pSyn",-0.238975101447096,0.0418709836808622,0.0744400506801632,"Mllt10","NS or FC < 0.5",-1.37808683604805
"4284","Mllt11","NeuN vs pSyn",-0.853573652949225,6.56957017408622e-09,1.78783332900208e-07,"Mllt11","Enriched in NeuN FDR < 0.01",-8.18246304400628
"4285","Mllt3","NeuN vs pSyn",-0.352710433522503,0.00753534828635336,0.0177666679977042,"Mllt3","NS or FC < 0.5",-2.1228966696472
"4286","Mllt6","NeuN vs pSyn",-0.111417826050289,0.290227114702722,0.374493284967023,"Mllt6","NS or FC < 0.5",-0.537262015689898
"4287","Mlst8","NeuN vs pSyn",0.339581285615069,0.021093447998151,0.0418212206853839,"Mlst8","NS or FC < 0.5",1.67585242338164
"4288","Mlx","NeuN vs pSyn",-0.066500646573084,0.600146984874152,0.677621595643334,"Mlx","NS or FC < 0.5",-0.221742371446197
"4289","Mlxip","NeuN vs pSyn",0.329487433626637,0.01293220791657,0.0276354064631528,"Mlxip","NS or FC < 0.5",1.88832732166849
"4290","Mlycd","NeuN vs pSyn",0.0501854571304543,0.736834918591131,0.794468081542395,"Mlycd","NS or FC < 0.5",0.132629801117254
"4291","Mmaa","NeuN vs pSyn",0.0668373873704919,0.609285207755699,0.685882363826656,"Mmaa","NS or FC < 0.5",0.215179365561822
"4292","Mmab","NeuN vs pSyn",0.348712644142178,0.0123755877273241,0.0266285865959451,"Mmab","NS or FC < 0.5",1.90743416688549
"4293","Mmachc","NeuN vs pSyn",0.415638432847119,0.00571131709083012,0.0140680888537759,"Mmachc","NS or FC < 0.5",2.24326372724989
"4294","Mmadhc","NeuN vs pSyn",0.266062091573113,0.0309829031696671,0.0575751810238466,"Mmadhc","NS or FC < 0.5",1.50887789027296
"4295","Mmd","NeuN vs pSyn",-0.233564270390528,0.0636928232392262,0.105531754624318,"Mmd","NS or FC < 0.5",-1.19590950021086
"4296","Mmd2","NeuN vs pSyn",0.0452218926323767,0.736872443090788,0.794468081542395,"Mmd2","NS or FC < 0.5",0.13260768453758
"4297","Mme","NeuN vs pSyn",0.589830936758342,0.000109848373411405,0.000579043205234564,"Mme","Enriched in pSyn FDR < 0.01",3.95920636954621
"4298","Mmgt2","NeuN vs pSyn",0.237378249056386,0.0638254843808413,0.105641578848473,"Mmgt2","NS or FC < 0.5",1.19500588058751
