"","Feature","Comparison","Estimate","P","FDR","Gene","Color","invert_P"
"1653","SEC31A","NeuN vs pSyn",-0.0930339332908831,0.6481916173592,0.746878825963093,"SEC31A","NS or FC < 0.5",-0.188296589715693
"1654","SLC25A22","NeuN vs pSyn",-0.1614670780618,0.244532021091423,0.375373891380926,"SLC25A22","NS or FC < 0.5",-0.611664262623196
"1655","SIRT6","NeuN vs pSyn",-0.632567250121223,0.154909359084144,0.272525137550158,"SIRT6",NA,-0.809922342887582
"1656","SLC24A2","NeuN vs pSyn",-0.64497871890804,1.31527688323287e-05,0.000486536618003759,"SLC24A2","Enriched in NeuN FDR < 0.01",-4.88098281279986
"1657","SEMA4A","NeuN vs pSyn",-0.177543720226322,0.360872973459203,0.49111842479788,"SEMA4A","NS or FC < 0.5",-0.442645641955578
"1658","VIPAS39","NeuN vs pSyn",0.151482412023557,0.300479509565216,0.432499544659455,"VIPAS39","NS or FC < 0.5",0.522185138257481
"1659","CORO1A","NeuN vs pSyn",-0.0575522520238271,0.831632957316197,0.885037746334646,"CORO1A","NS or FC < 0.5",-0.0800683080647796
"1660","DIDO1","NeuN vs pSyn",0.348181399830034,0.00853217183922206,0.040587689493222,"DIDO1","NS or FC < 0.5",2.06894040637845
"1661","NDUFA11","NeuN vs pSyn",-0.447814396822467,0.0665141360925984,0.151044376725478,"NDUFA11","NS or FC < 0.5",-1.17708604530461
"1662","UCKL1","NeuN vs pSyn",-0.130245986945351,0.368130095740853,0.498078803439842,"UCKL1","NS or FC < 0.5",-0.43399867622382
"1663","TUBA8","NeuN vs pSyn",0.0444424712942704,0.800300224658416,0.862972493996129,"TUBA8","NS or FC < 0.5",0.0967470611918885
"1664","KANSL1","NeuN vs pSyn",-0.0216260732345259,0.875669711751947,0.916034443052603,"KANSL1","NS or FC < 0.5",-0.0576596716997495
"1665","PPP1R21","NeuN vs pSyn",-0.0448927831675368,0.788450064171089,0.85473393016581,"PPP1R21","NS or FC < 0.5",-0.103225807143817
"1666","SECISBP2L","NeuN vs pSyn",-0.580057725911238,0.0632810459986733,0.14661638045795,"SECISBP2L",NA,-1.19872635081731
"1667","SCRN3","NeuN vs pSyn",-0.0408336110146064,0.758297408450819,0.832163290067034,"SCRN3","NS or FC < 0.5",-0.120160428251117
"1668","FBXL5","NeuN vs pSyn",-0.126933282924106,0.513469405357048,0.633259299609402,"FBXL5","NS or FC < 0.5",-0.289485428367486
"1669","SMIM17","NeuN vs pSyn",-0.231241806530996,0.188289678882402,0.311258798398528,"SMIM17","NS or FC < 0.5",-0.7251734852264
"1670","HCN2","NeuN vs pSyn",0.111832768126908,0.44169206680166,0.567098591813864,"HCN2","NS or FC < 0.5",0.354880401002427
