genes,Asthma,cardiovascular,coronaryheart,DiabetesMellitus,LymphoidLeukemia,ReumatoidArthritis
ANKRD55,0.0,1.0,0.0,1.0,0.0,1.0
ANKRD6,0.0,1.0,1.0,0.0,0.0,0.0
ANKS1A,0.0,1.0,0.0,0.0,0.0,0.0
ANKS1B,0.0,1.0,0.0,1.0,0.0,0.0
ANKUB1,0.0,1.0,0.0,0.0,0.0,0.0
ANO1,0.0,1.0,0.0,0.0,0.0,0.0
ANO5,0.0,1.0,0.0,0.0,0.0,0.0
ANO6,0.0,0.0,0.0,1.0,0.0,1.0
ANO7,0.0,1.0,0.0,0.0,0.0,0.0
ANTXR1,0.0,1.0,0.0,0.0,0.0,0.0
ANTXR2,0.0,0.0,0.0,0.0,0.0,1.0
ANXA3,0.0,0.0,0.0,0.0,0.0,1.0
ANXA4,0.0,1.0,0.0,0.0,0.0,0.0
AOAH,0.0,0.0,0.0,1.0,0.0,0.0
AOC1,0.0,1.0,0.0,1.0,0.0,0.0
AOPEP,0.0,1.0,0.0,1.0,0.0,0.0
AP1AR,0.0,0.0,0.0,0.0,0.0,1.0
AP1S3,1.0,0.0,0.0,0.0,0.0,0.0
AP3D1,0.0,1.0,0.0,0.0,0.0,0.0
AP3S2,0.0,0.0,0.0,1.0,0.0,0.0
AP4B1,0.0,1.0,1.0,1.0,0.0,1.0
AP5B1,1.0,1.0,0.0,0.0,0.0,0.0
APCDD1,0.0,1.0,0.0,0.0,0.0,0.0
APEH,0.0,0.0,0.0,0.0,0.0,1.0
API5,0.0,1.0,0.0,0.0,0.0,0.0
APIP,0.0,0.0,0.0,1.0,0.0,0.0
APOA5,0.0,1.0,1.0,0.0,0.0,0.0
APOB,0.0,1.0,1.0,1.0,0.0,0.0
APOBEC2,0.0,0.0,0.0,1.0,0.0,0.0
APOBR,0.0,0.0,0.0,1.0,0.0,1.0
APOC1,0.0,1.0,1.0,1.0,0.0,0.0
APOC3,0.0,1.0,1.0,1.0,0.0,0.0
APOE,1.0,1.0,1.0,1.0,0.0,0.0
APOL1,0.0,0.0,0.0,1.0,0.0,0.0
APOL2,0.0,0.0,0.0,1.0,0.0,0.0
APOLD1,0.0,1.0,0.0,1.0,0.0,0.0
APP,0.0,1.0,0.0,1.0,0.0,0.0
APPL1,0.0,0.0,0.0,1.0,0.0,0.0
AQP1,0.0,1.0,0.0,0.0,0.0,0.0
AQP10,0.0,0.0,0.0,1.0,0.0,0.0
AQP2,1.0,0.0,0.0,0.0,0.0,0.0
AQP4,0.0,1.0,0.0,0.0,0.0,0.0
AQP5,1.0,0.0,0.0,0.0,0.0,0.0
AR,0.0,1.0,0.0,0.0,0.0,0.0
ARAP1,0.0,0.0,0.0,1.0,0.0,1.0
ARB2A,0.0,1.0,0.0,0.0,0.0,0.0
ARF1,0.0,1.0,0.0,0.0,0.0,0.0
ARF3,0.0,1.0,0.0,0.0,0.0,0.0
ARF5,0.0,0.0,0.0,1.0,0.0,0.0
ARG1,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP1,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP10,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP12,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP15,1.0,1.0,1.0,0.0,0.0,0.0
ARHGAP19,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP19-SLIT1,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP22,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP24,0.0,1.0,0.0,1.0,0.0,0.0
ARHGAP25,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP26,0.0,1.0,1.0,0.0,0.0,0.0
ARHGAP27,1.0,0.0,0.0,1.0,0.0,0.0
ARHGAP29,0.0,1.0,0.0,0.0,0.0,0.0
ARHGAP39,0.0,0.0,0.0,1.0,0.0,0.0
ARHGAP42,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF12,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF16,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF18,0.0,1.0,0.0,0.0,0.0,0.0
ARHGEF26,0.0,1.0,1.0,0.0,0.0,0.0
ARHGEF28,0.0,1.0,0.0,0.0,0.0,0.0
ARHGEF3,1.0,1.0,0.0,0.0,0.0,0.0
ARHGEF4,0.0,1.0,0.0,0.0,0.0,0.0
ARID1A,0.0,1.0,0.0,0.0,0.0,0.0
ARID1B,0.0,1.0,0.0,1.0,0.0,0.0
ARID3C,0.0,1.0,0.0,0.0,0.0,0.0
ARID4A,0.0,1.0,1.0,1.0,0.0,0.0
ARID5B,0.0,1.0,0.0,1.0,1.0,1.0
ARIH1,0.0,1.0,0.0,0.0,0.0,0.0
ARL13B,1.0,0.0,0.0,1.0,0.0,0.0
ARL14,0.0,1.0,0.0,0.0,0.0,0.0
ARL14EP,0.0,1.0,0.0,0.0,0.0,0.0
ARL15,0.0,1.0,0.0,1.0,0.0,0.0
ARL3,1.0,0.0,0.0,0.0,0.0,0.0
ARL4C,0.0,1.0,1.0,0.0,0.0,0.0
ARMC9,0.0,0.0,0.0,1.0,0.0,0.0
ARMH3,0.0,1.0,0.0,0.0,0.0,0.0
ARMH4,0.0,1.0,0.0,1.0,0.0,0.0
ARMS2,0.0,1.0,0.0,0.0,0.0,0.0
ARNT2,0.0,1.0,0.0,0.0,0.0,0.0
ARPIN,0.0,0.0,0.0,1.0,0.0,0.0
ARPIN-AP3S2,0.0,0.0,0.0,1.0,0.0,0.0
ARPP21,0.0,0.0,0.0,1.0,0.0,0.0
ARRDC1,1.0,0.0,0.0,0.0,0.0,0.0
ART3,0.0,0.0,0.0,1.0,0.0,0.0
ARVCF,0.0,0.0,0.0,1.0,0.0,0.0
AS3MT,0.0,1.0,0.0,0.0,0.0,0.0
ASAH1,0.0,1.0,0.0,1.0,0.0,0.0
ASAP2,0.0,0.0,0.0,0.0,0.0,1.0
ASB3,0.0,1.0,0.0,1.0,0.0,0.0
ASCC2,0.0,0.0,0.0,1.0,0.0,0.0
ASCL2,0.0,0.0,0.0,1.0,0.0,0.0
ASTN2,0.0,1.0,0.0,1.0,0.0,0.0
ASXL1,0.0,1.0,1.0,0.0,0.0,0.0
ASXL3,0.0,1.0,0.0,0.0,0.0,0.0
ASZ1,0.0,1.0,1.0,1.0,0.0,0.0
ATAD1,0.0,0.0,0.0,1.0,0.0,0.0
ATG13,0.0,1.0,0.0,0.0,0.0,0.0
ATG16L1,0.0,0.0,0.0,1.0,0.0,1.0
ATG16L2,0.0,1.0,1.0,0.0,0.0,0.0
ATG5,1.0,0.0,0.0,0.0,0.0,1.0
ATG7,0.0,1.0,0.0,0.0,0.0,0.0
ATM,0.0,0.0,0.0,1.0,0.0,0.0
ATOH1,0.0,1.0,0.0,0.0,0.0,0.0
ATP10B,1.0,0.0,0.0,0.0,0.0,0.0
ATP13A2,0.0,1.0,0.0,0.0,0.0,0.0
ATP13A3,0.0,1.0,0.0,0.0,0.0,0.0
ATP1A2,0.0,1.0,0.0,0.0,0.0,0.0
ATP1B1,0.0,1.0,1.0,0.0,0.0,0.0
ATP1B2,0.0,0.0,0.0,1.0,0.0,0.0
ATP2A2,0.0,1.0,0.0,0.0,0.0,0.0
ATP2A3,0.0,0.0,0.0,1.0,0.0,0.0
ATP2B1,0.0,1.0,1.0,0.0,0.0,0.0
ATP2B3,0.0,1.0,0.0,0.0,0.0,0.0
ATP2B4,0.0,0.0,0.0,1.0,0.0,0.0
ATP5F1D,0.0,0.0,0.0,1.0,0.0,0.0
ATP5F1E,0.0,0.0,0.0,1.0,0.0,0.0
ATP5MC1,0.0,1.0,1.0,1.0,0.0,0.0
ATP5PO,0.0,0.0,0.0,0.0,0.0,1.0
ATP6V0A1,1.0,0.0,0.0,0.0,0.0,0.0
ATP6V1B2,0.0,1.0,1.0,0.0,0.0,0.0
ATP6V1F,0.0,1.0,0.0,0.0,0.0,0.0
ATP6V1G2,0.0,0.0,0.0,0.0,0.0,1.0
ATP8B2,0.0,0.0,0.0,1.0,0.0,0.0
ATR,0.0,1.0,0.0,0.0,0.0,0.0
ATRAID,0.0,1.0,1.0,1.0,0.0,0.0
ATRIP,0.0,1.0,0.0,0.0,0.0,0.0
ATRNL1,0.0,1.0,0.0,0.0,0.0,0.0
ATXN1,0.0,1.0,0.0,0.0,0.0,0.0
ATXN2,1.0,1.0,1.0,1.0,0.0,1.0
ATXN7,0.0,0.0,0.0,1.0,0.0,0.0
ATXN7L3B,0.0,0.0,0.0,1.0,0.0,0.0
AUTS2,0.0,0.0,0.0,1.0,0.0,0.0
AXIN1,0.0,1.0,0.0,1.0,0.0,0.0
AZIN1,0.0,0.0,0.0,1.0,0.0,0.0
B3GALNT2,0.0,0.0,0.0,1.0,0.0,0.0
B3GALT2,0.0,1.0,0.0,0.0,0.0,0.0
B3GALT5,1.0,0.0,0.0,0.0,0.0,0.0
B3GALT6,0.0,0.0,0.0,0.0,0.0,1.0
B3GAT3,0.0,1.0,0.0,0.0,0.0,0.0
B3GLCT,0.0,1.0,0.0,0.0,0.0,0.0
B3GNT2,0.0,0.0,0.0,1.0,0.0,1.0
B3GNTL1,1.0,0.0,0.0,0.0,0.0,0.0
B4GALT7,0.0,1.0,0.0,0.0,0.0,0.0
B9D2,0.0,1.0,1.0,0.0,0.0,0.0
BACH1,0.0,1.0,1.0,0.0,0.0,0.0
BACH2,1.0,0.0,0.0,1.0,0.0,1.0
BAG3,0.0,1.0,0.0,0.0,0.0,0.0
BAG5,0.0,1.0,0.0,0.0,0.0,0.0
BAHCC1,0.0,1.0,0.0,0.0,0.0,0.0
BAK1,1.0,0.0,0.0,1.0,1.0,1.0
BANK1,0.0,1.0,0.0,0.0,1.0,1.0
BANP,0.0,0.0,0.0,1.0,0.0,0.0
BATF3,1.0,0.0,0.0,1.0,0.0,0.0
BAZ1B,1.0,1.0,1.0,1.0,0.0,0.0
BBIP1,0.0,0.0,0.0,1.0,0.0,0.0
BBS2,0.0,0.0,0.0,1.0,0.0,0.0
BCAP29,0.0,1.0,1.0,0.0,0.0,0.0
BCAR1,0.0,0.0,0.0,1.0,0.0,0.0
BCAS3,0.0,1.0,1.0,0.0,0.0,0.0
BCDIN3D,0.0,0.0,0.0,1.0,0.0,0.0
BCKDK,0.0,1.0,0.0,0.0,0.0,0.0
BCL11A,1.0,0.0,0.0,1.0,1.0,0.0
BCL2,0.0,0.0,0.0,1.0,1.0,0.0
BCL2L11,1.0,1.0,0.0,1.0,1.0,0.0
BCL2L15,0.0,1.0,1.0,1.0,0.0,1.0
BCL3,1.0,1.0,1.0,1.0,0.0,0.0
BCL6,1.0,0.0,0.0,1.0,0.0,0.0
BCL7B,0.0,1.0,0.0,0.0,0.0,0.0
BCR,0.0,0.0,0.0,0.0,1.0,0.0
BDH2,0.0,0.0,0.0,1.0,0.0,0.0
BDKRB2,0.0,1.0,0.0,0.0,0.0,0.0
BDNF,0.0,0.0,0.0,1.0,0.0,0.0
BEND3,0.0,0.0,0.0,1.0,0.0,0.0
BEND7,0.0,0.0,0.0,1.0,0.0,0.0
BEST3,0.0,1.0,0.0,0.0,0.0,0.0
BET1L,0.0,1.0,1.0,0.0,0.0,0.0
BGN,0.0,1.0,0.0,0.0,0.0,0.0
BHLHA15,0.0,0.0,0.0,1.0,0.0,0.0
BHLHE40,0.0,0.0,0.0,1.0,0.0,0.0
BHLHE41,0.0,1.0,0.0,1.0,0.0,0.0
BHMT,0.0,0.0,0.0,1.0,0.0,0.0
BICC1,0.0,1.0,0.0,0.0,0.0,0.0
BIRC6,0.0,1.0,0.0,0.0,0.0,0.0
BLID,0.0,1.0,0.0,0.0,0.0,0.0
BLK,0.0,1.0,0.0,1.0,0.0,1.0
BLM,0.0,0.0,0.0,0.0,1.0,0.0
BLTP1,1.0,0.0,0.0,1.0,0.0,1.0
BLTP3A,0.0,1.0,0.0,0.0,0.0,0.0
BLTP3B,0.0,1.0,0.0,0.0,0.0,0.0
BLZF1,0.0,1.0,0.0,0.0,0.0,0.0
BMAL1,0.0,1.0,1.0,1.0,0.0,0.0
BMF,0.0,0.0,0.0,1.0,1.0,0.0
BMP1,0.0,1.0,1.0,0.0,0.0,0.0
BMP2,0.0,1.0,0.0,0.0,0.0,0.0
